Img1,Img2,rmse
ART_2020003_011021.FR,ART_2020003_012021.FR,0.0
ART_2020003_012021.FR,ART_2020003_013021.FR,0.0
ART_2020003_013021.FR,ART_2020003_014021.FR,0.0
ART_2020003_014021.FR,ART_2020003_015021.FR,0.0
ART_2020003_015021.FR,ART_2020003_020021.FR,0.0
ART_2020003_020021.FR,ART_2020003_021021.FR,0.0
ART_2020003_021021.FR,ART_2020003_022021.FR,0.0
ART_2020003_022021.FR,ART_2020003_023021.FR,0.0
ART_2020003_023021.FR,ART_2020003_024021.FR,0.0
ART_2020003_024021.FR,ART_2020003_025021.FR,0.0
ART_2020003_025021.FR,ART_2020003_030021.FR,0.0
ART_2020003_030021.FR,ART_2020003_031021.FR,0.0
ART_2020003_031021.FR,ART_2020003_032021.FR,0.0
ART_2020003_032021.FR,ART_2020003_033021.FR,0.0
ART_2020003_033021.FR,ART_2020003_034021.FR,0.0
ART_2020003_034021.FR,ART_2020003_035021.FR,0.0
ART_2020003_035021.FR,ART_2020003_040021.FR,0.0
ART_2020003_040021.FR,ART_2020003_041021.FR,0.0
ART_2020003_041021.FR,ART_2020003_042021.FR,0.0
ART_2020003_042021.FR,ART_2020003_043021.FR,0.0
ART_2020003_043021.FR,ART_2020003_044021.FR,0.0
ART_2020003_044021.FR,ART_2020003_045021.FR,0.0
ART_2020003_045021.FR,ART_2020003_050021.FR,0.0
ART_2020003_050021.FR,ART_2020003_051021.FR,0.0
ART_2020003_051021.FR,ART_2020003_052021.FR,0.0
ART_2020003_052021.FR,ART_2020003_053021.FR,0.0
ART_2020003_053021.FR,ART_2020003_054021.FR,0.0
ART_2020003_054021.FR,ART_2020003_055021.FR,0.0
ART_2020003_055021.FR,ART_2020003_060021.FR,0.0
ART_2020003_060021.FR,ART_2020003_061021.FR,0.0
ART_2020003_061021.FR,ART_2020003_062021.FR,0.0
ART_2020003_062021.FR,ART_2020003_063021.FR,0.0
ART_2020003_063021.FR,ART_2020003_064021.FR,0.0
ART_2020003_064021.FR,ART_2020003_065021.FR,0.0
ART_2020003_065021.FR,ART_2020003_070021.FR,0.0
ART_2020003_070021.FR,ART_2020003_071021.FR,0.0
ART_2020003_071021.FR,ART_2020003_072021.FR,0.0
ART_2020003_072021.FR,ART_2020003_073021.FR,0.0
ART_2020003_073021.FR,ART_2020003_074021.FR,0.0
ART_2020003_074021.FR,ART_2020003_075021.FR,0.0
ART_2020003_075021.FR,ART_2020003_080021.FR,0.0
ART_2020003_080021.FR,ART_2020003_081021.FR,0.0
ART_2020003_081021.FR,ART_2020003_082021.FR,1.571449
ART_2020003_082021.FR,ART_2020003_083021.FR,8.723182
ART_2020003_083021.FR,ART_2020003_084021.FR,17.095299
ART_2020003_084021.FR,ART_2020003_085021.FR,19.10932
ART_2020003_085021.FR,ART_2020003_090021.FR,18.719395
ART_2020003_090021.FR,ART_2020003_091021.FR,18.532377
ART_2020003_091021.FR,ART_2020003_092021.FR,17.84208
ART_2020003_092021.FR,ART_2020003_093021.FR,17.366873
ART_2020003_093021.FR,ART_2020003_094021.FR,15.4994755
ART_2020003_094021.FR,ART_2020003_095021.FR,14.478871
ART_2020003_095021.FR,ART_2020003_100021.FR,13.491109
ART_2020003_100021.FR,ART_2020003_101021.FR,12.57867
ART_2020003_101021.FR,ART_2020003_102021.FR,12.854902
ART_2020003_102021.FR,ART_2020003_103021.FR,13.221969
ART_2020003_103021.FR,ART_2020003_104021.FR,13.048405
ART_2020003_104021.FR,ART_2020003_105021.FR,11.721823
ART_2020003_105021.FR,ART_2020003_110021.FR,11.226907
ART_2020003_110021.FR,ART_2020003_111021.FR,10.471181
ART_2020003_111021.FR,ART_2020003_112021.FR,10.055594
ART_2020003_112021.FR,ART_2020003_113021.FR,9.731709
