Img,Min,Max,Mean,Black Rows,Black cols,Next img,RMSE
ART_2020306_103018.FR,2.3748035,249.3307,19.216515,0,0,ART_2020306_104018.FR,9.726538
ART_2020306_104018.FR,0.0,207.31966,19.628948,0,0,ART_2020306_105018.FR,8.531373
ART_2020306_105018.FR,1.4110307,192.2016,19.768126,0,0,ART_2020306_110018.FR,6.7841506
ART_2020306_110018.FR,1.1170807,174.70633,19.273996,0,0,ART_2020306_111018.FR,6.540256
ART_2020306_111018.FR,1.716764,160.91315,18.795132,0,0,ART_2020306_112018.FR,6.34913
ART_2020306_112018.FR,1.2149845,157.38266,18.391531,0,0,ART_2020306_113018.FR,6.2929187
ART_2020306_113018.FR,0.2617368,144.47827,18.047659,0,0,ART_2020306_114018.FR,6.1533194
ART_2020306_114018.FR,0.57718,143.18144,17.748442,0,0,ART_2020306_115018.FR,6.101386
ART_2020306_115018.FR,0.0,139.17616,17.47002,0,0,ART_2020306_120018.FR,6.024137
ART_2020306_120018.FR,0.0,131.72577,17.217571,0,0,ART_2020306_121018.FR,6.0372205
ART_2020306_121018.FR,1.2293671,127.5414,16.994476,0,0,ART_2020306_122018.FR,5.988347
ART_2020306_122018.FR,1.4510264,123.04278,16.808592,0,0,ART_2020306_123018.FR,5.9201984
ART_2020306_123018.FR,1.5615491,119.81329,16.65619,0,0,ART_2020306_124018.FR,5.9001594
ART_2020306_124018.FR,1.1926425,116.6218,16.541105,0,0,ART_2020306_125018.FR,5.9390464
ART_2020306_125018.FR,1.4492633,109.69054,16.455835,0,0,ART_2020306_130018.FR,5.990603
ART_2020306_130018.FR,0.21192788,108.43023,16.400436,0,0,ART_2020306_131018.FR,6.0307984
ART_2020306_131018.FR,1.6717302,105.88926,16.357998,0,0,ART_2020306_132018.FR,6.089007
ART_2020306_132018.FR,1.3260314,103.57398,16.318264,0,0,ART_2020306_133018.FR,6.1593585
ART_2020306_133018.FR,0.6622976,101.76237,16.296322,0,0,ART_2020306_134018.FR,6.246888
ART_2020306_134018.FR,1.662387,99.43764,16.30652,0,0,ART_2020306_135018.FR,6.3206224
ART_2020306_135018.FR,1.2397321,98.57044,16.37558,0,0,ART_2020306_140018.FR,6.493091
ART_2020306_140018.FR,0.0,102.6694,16.522503,0,0,ART_2020306_141018.FR,6.6575603
ART_2020306_141018.FR,1.5099112,106.02532,16.788343,0,0,ART_2020306_142018.FR,6.9952884
ART_2020306_142018.FR,1.5559976,101.84801,17.179094,0,0,ART_2020306_143018.FR,7.293994
ART_2020306_143018.FR,1.6808965,101.28863,17.600218,0,0,ART_2020306_144018.FR,7.578519
ART_2020306_144018.FR,1.8695251,101.691154,17.788065,0,0,ART_2020306_145018.FR,7.7497554
ART_2020306_145018.FR,1.1807746,101.9355,17.697775,0,0,ART_2020306_150018.FR,7.8164682
ART_2020306_150018.FR,1.9388738,101.44587,17.580029,0,0,ART_2020306_151018.FR,7.8292594
ART_2020306_151018.FR,2.0007184,102.40429,17.575268,0,0,ART_2020306_152018.FR,8.07978
ART_2020306_152018.FR,1.8404952,102.36613,17.650013,0,0,ART_2020306_153018.FR,8.143253
ART_2020306_153018.FR,0.98977107,103.03402,17.752602,0,0,ART_2020306_154018.FR,8.4423
ART_2020306_154018.FR,1.7788152,104.05459,17.848677,0,0,ART_2020306_155018.FR,8.547654
ART_2020306_155018.FR,2.3508728,105.45981,17.945953,0,0,ART_2020306_160018.FR,8.711807
ART_2020306_160018.FR,2.1542702,106.50478,18.048494,0,0,ART_2020306_161018.FR,8.90018
ART_2020306_161018.FR,1.6400145,109.14724,18.141787,0,0,ART_2020306_162018.FR,9.06221
ART_2020306_162018.FR,2.2681694,109.93664,18.234072,0,0,ART_2020306_163018.FR,9.187529
ART_2020306_163018.FR,2.4211526,111.49302,18.315409,0,0,ART_2020306_164018.FR,9.446613
ART_2020306_164018.FR,2.0504727,114.02844,18.389317,0,0,ART_2020306_165018.FR,9.552833
ART_2020306_165018.FR,2.7771063,117.03454,18.455076,0,0,ART_2020306_170018.FR,9.727192
ART_2020306_170018.FR,2.736263,119.835785,18.502747,0,0,ART_2020306_171018.FR,9.909797
ART_2020306_171018.FR,2.3535259,123.170334,18.538395,0,0,ART_2020306_172018.FR,10.038768
ART_2020306_172018.FR,2.3019059,127.361946,18.566721,0,0,ART_2020306_173018.FR,10.190264
ART_2020306_173018.FR,2.0425532,131.92764,18.571962,0,0,ART_2020306_174018.FR,10.35879
ART_2020306_174018.FR,2.3132286,137.02966,18.568508,0,0,ART_2020306_175018.FR,10.436139
ART_2020306_175018.FR,2.3508532,143.1816,18.542149,0,0,ART_2020306_180018.FR,10.588618
ART_2020306_180018.FR,2.4335387,148.37193,18.518192,0,0,ART_2020306_181018.FR,10.647371
ART_2020306_181018.FR,2.437423,154.46083,18.48837,0,0,ART_2020306_182018.FR,10.807289
ART_2020306_182018.FR,2.32678,158.19086,18.473862,0,0,ART_2020306_183018.FR,10.803453
ART_2020306_183018.FR,2.5705266,161.98988,18.48821,0,0,ART_2020306_184018.FR,10.946202
ART_2020306_184018.FR,2.566858,167.38803,18.541079,0,0,ART_2020306_185018.FR,10.972401
ART_2020306_185018.FR,2.672494,184.93861,18.65991,0,0,ART_2020306_190018.FR,11.189471
ART_2020306_190018.FR,2.3353117,179.86922,18.712646,0,0,ART_2020306_191018.FR,11.12377
ART_2020306_191018.FR,2.574612,192.93666,18.533104,0,0,ART_2020306_192018.FR,10.974
