timestamp,0min,10min,20min,30min,40min,50min,60min,70min,80min,90min,100min,110min,120min,130min,140min,150min,160min,170min,180min,190min,200min,210min,220min,230min,240min,250min,260min,270min,280min,290min,300min
ART_2020001_103021.FR,0.0,0.30823762410053707,0.4281059006849806,0.5129258146762834,0.5782726772831199,0.6260923292592024,0.6621381011883724,0.6838355331212709,0.6935339765866472,0.7008712416717637,0.7062780872670094,0.7087384380591867,0.7055138543894466,0.6984875562331265,0.6884072094118734,0.679995382307981,0.6771398792891659,0.67748066432555,0.6781044019484235,0.6790630764917087,0.6809800769377631,0.679999152905561,0.6804662324574556,0.6816136156369246,0.6847464201792043,0.6878429302242883,0.690121924266906,0.6921960658247295,0.6945117860631139,0.6936722847630322,0.6924658636616512
ART_2020001_104021.FR,0.0,0.3082218766605075,0.4217050264194247,0.5013232412825408,0.5564286320687102,0.6005542338811343,0.6295266244999698,0.6457284868576941,0.6591759974957663,0.6678938869991079,0.6743188036959418,0.6795045781495976,0.6781790502470882,0.6717181667074121,0.6644748306630984,0.664223539495449,0.6657622947588187,0.666740173125145,0.6684400888048342,0.6701134861176472,0.6695196697078076,0.668715456121306,0.6703524074592269,0.6733096639834216,0.6749851103989446,0.6759772802963349,0.6780190794016259,0.6796593466725142,0.6801575988498972,0.6811990992465903,0.6833152220914707
ART_2020001_105021.FR,0.0,0.30414046049396937,0.4137513426468051,0.48640067817615207,0.5405320891494824,0.5765586192897926,0.5967715130776398,0.612391942522891,0.6298220657597646,0.642123715653306,0.6484231688112388,0.64984962821942,0.6473303675459563,0.646147043272954,0.6511992038128858,0.6561447125931883,0.6575249184607597,0.6609621468926623,0.6637872350031366,0.666237984418103,0.6676725903209199,0.6713217203490135,0.6752796744625901,0.6774595572041946,0.678448318489399,0.6799078894217869,0.6800084316710031,0.6788888932022811,0.6783911658432235,0.6788569076177785,0.683979806971116
ART_2020001_110021.FR,0.0,0.3020961597917168,0.4090390236875771,0.4835284945293373,0.5314625325518869,0.5588635505369568,0.5771726034198019,0.5932268571895705,0.6061326087335236,0.6151604503529275,0.6212139595154187,0.6239324289940577,0.6249922933624403,0.6306924753818789,0.6377562823783552,0.6422484836085018,0.6473093641754133,0.6530797400801412,0.6575209438785194,0.6600295688200892,0.6634491868817808,0.6675184980512435,0.6711354970569001,0.6742432274093928,0.6791505325303232,0.6823198309493098,0.6843339832942209,0.6853782404956501,0.6870577200010467,0.6905301338239742,0.6942004331144069
ART_2020001_111021.FR,0.0,0.2985334953894517,0.40337102145508597,0.47124051725928456,0.514682548555793,0.5402570239724056,0.5604635333991417,0.5770979070369765,0.5915750691411021,0.601443646458593,0.6063356620707687,0.6107239968127551,0.6190273364172134,0.6284664542744132,0.6358585708662889,0.6433307213797481,0.6489263085875479,0.6534632541082772,0.6566552290094416,0.6609127320095901,0.665674501606839,0.6692009240019051,0.6729806728037049,0.6770790215424237,0.6804706702933666,0.6841678930699735,0.6861231085307563,0.6882433282480198,0.69193300223132,0.6957177147543676,0.6999761244501579
ART_2020001_112021.FR,0.0,0.29641090788925517,0.39458080181509664,0.461679486540861,0.505455130720376,0.53305099037356,0.5519794000072008,0.5678338318591054,0.5796105776148144,0.5849600365351437,0.5897790320406336,0.5984476356109251,0.6087416764212863,0.6178385588556621,0.6265189322253913,0.6335657999812402,0.6414391336172438,0.6480432489393007,0.6554105841583194,0.6620050109005886,0.6672308020073268,0.6704702610603083,0.671972500632746,0.6756261570962314,0.6803868404513496,0.6842113009666273,0.6876031632277009,0.6935265588485134,0.6992585435267071,0.7037676733635629,0.7089581362604505
ART_2020001_113021.FR,0.0,0.2987112356311041,0.3993817707978025,0.46317263569621786,0.503789901361259,0.5307050302002119,0.5483786163887188,0.5607283264046721,0.5659065465238509,0.5718207557503753,0.5823906395600112,0.5953412270892117,0.605759682256814,0.6144611110136632,0.620703646612996,0.6290305653797297,0.6410085465039485,0.6522441991262236,0.6604910720384697,0.6648947803586082,0.6667835414065418,0.667785940494563,0.6705757854580003,0.6738805862121987,0.6780678145309754,0.6817609082218834,0.6871265579696484,0.6939491363359936,0.6987885723930892,0.703233299324812,0.7068019907576263
ART_2020001_114021.FR,0.0,0.30190933042769985,0.40050377928839337,0.45838657040524705,0.49823043936425104,0.5289476795930125,0.548691335505375,0.5602267222534132,0.567946632599623,0.5776610463959747,0.5888786912499869,0.5965000103027438,0.6033113890425899,0.6100780596898782,0.6194854086259031,0.631026254976235,0.6429456909123972,0.6520769272240952,0.6566714354357355,0.6578803959122521,0.65789718702103,0.6600844781129492,0.6620812146333866,0.6657503022336816,0.6709501694648928,0.6780535768030418,0.6858431930229765,0.6921150988098417,0.6993704033263306,0.7045162452299153,0.707913253784347
ART_2020001_115021.FR,0.0,0.3010215867559634,0.39123530601039486,0.4473234946126626,0.48901290338062936,0.5167296861672638,0.5340682145966363,0.5459629500808176,0.5578596139021526,0.5723873958419496,0.5844146491224727,0.594509447067864,0.6030476655496959,0.609875359685306,0.6187648696936358,0.6293836605471557,0.6374874793771652,0.6410533042126593,0.6425716923910041,0.6432250169740725,0.6462373813723837,0.6496776585467625,0.6551363639540059,0.6608410759684359,0.6672782682456413,0.6742468333506528,0.6804511673233812,0.6868224641758934,0.692103254088179,0.6971114898401872,0.7019000588705353
ART_2020001_120021.FR,0.0,0.2936326539892907,0.3820457882010681,0.4424239849630098,0.4805628603183152,0.5035303290150527,0.5201787712064257,0.5367482717975184,0.554248302186522,0.5697566405886455,0.5831098401810861,0.5921822025839447,0.6001336025676484,0.6095251041465661,0.6209511279014208,0.6310476851626979,0.6360160550543054,0.6388288787079666,0.6414133525098283,0.6459783353808207,0.6503683181016315,0.6570187686832496,0.6634132644850662,0.6707535337769696,0.6785812152752293,0.686388125109243,0.6944702291678027,0.7003328798085849,0.7051262934295535,0.7094836243329109,0.7107980597231006
ART_2020001_121021.FR,0.0,0.2962792287792141,0.38401075739557405,0.43735963216319645,0.47143419376620155,0.49656486228756175,0.5166069769229663,0.5372327199446706,0.555243085868291,0.5707237657079742,0.583135425318367,0.5927105470946785,0.6027723219534505,0.6160081052712517,0.6266647437967922,0.6302383890299437,0.6333844474944605,0.63588537849775,0.6404456988231246,0.6454603814044169,0.65205827115263,0.658342346077905,0.666143062748508,0.6751648389974614,0.6828151060964941,0.6898966954274796,0.695900318516777,0.7007802093262728,0.7050679490732513,0.7076660112073381,0.7102367988435967
ART_2020001_122021.FR,0.0,0.290180504934846,0.37567459852633783,0.42869742720208187,0.4658712365765543,0.49340176050522194,0.5182412499740697,0.540606611207488,0.559359873561763,0.5746567603138683,0.5854188364587594,0.596412476531085,0.609694383172289,0.6239926424896212,0.6324014241134671,0.6376752066612539,0.6403480467021946,0.6451700262324676,0.6521941222986137,0.657761545355645,0.6614470352238134,0.6662324292683067,0.6721867193888144,0.6781489771451088,0.6840394397490182,0.6895719716421951,0.695614608880471,0.7015588514318307,0.7054915133904663,0.709322300799046,0.7130069074759798
ART_2020001_123021.FR,0.0,0.28795116007783,0.3686518676168626,0.4236958142510355,0.4598904050054987,0.4877258633110082,0.5142856180687932,0.5360949055711955,0.5529069426722253,0.5650686275707767,0.5782296680123731,0.5929219594722355,0.6077873001515612,0.6181276681694368,0.6249947324117372,0.6300306787418973,0.6353608628458893,0.6426768106398174,0.6496602566083054,0.6543532264729438,0.6598622171882563,0.6661432883019119,0.6726554884543162,0.6774582932926337,0.6813997047352288,0.6854062640353725,0.6909753975787695,0.6954148535691979,0.7000394660000703,0.7051522799058982,0.7099088371395474
ART_2020001_124021.FR,0.0,0.2887222086149331,0.3725356988740304,0.424900012373129,0.4614802860927991,0.4915253432322361,0.5151894574048679,0.5347108668447197,0.5498729227151069,0.5654829760040422,0.5815670839522088,0.5958005770803636,0.6057560389263772,0.6124524377440795,0.617994000527735,0.6232373812515042,0.6298170604872165,0.6349819876082539,0.6403123069626758,0.6461790726320183,0.6524386668978778,0.6595000878374058,0.6663579289679665,0.6717298787835458,0.6778217018595176,0.6841682855921328,0.6883633400356772,0.6934081280356941,0.6986712117951747,0.7043261026484511,0.7096777167189775
ART_2020001_125021.FR,0.0,0.2927316417501771,0.37189912001767417,0.42365572517892053,0.4634290593016985,0.49285442697313453,0.5157725524370985,0.5333555974431055,0.549370911973203,0.5661577258050025,0.5810344145484478,0.5919306953118335,0.5985106627826781,0.6025943712310747,0.6059974387433702,0.6111042479690849,0.6177026898157053,0.6226186046162472,0.6290660474660356,0.6366880875610504,0.6442926824444709,0.6511663180342234,0.6567775613469902,0.664434994578543,0.6728915295543989,0.678197798807846,0.6834729205304162,0.6883663994671795,0.6924052642481406,0.6968274928869163,0.701480170859338
